UID,Title,Medium,Size,Qty,Price
,Chaos Theory,Oil,,1,10000
,The Universe,Acrylic Pour,,1,250
,Magnolia,Photography,,1,100
,Murns,Photography,,1,150
,Purple Haze,Acrylic Dot,,1,150
,Crop Circle,Acrylic Dot,,1,350
,Confetti,Acrylic Dot,,1,350
,IN the Zone,Acrylic Dot,,1,120
,Queen of Hearts,Acrylic Dot,,1,250
,Contton Cnady,Acrylic Dot,,1,300
,Silver & Gold,Acrylic Dot,,1,250
,Yellow,Photograph ,,1,300
,A Westward Wind,Acrylic Dot,,1,600
,Shall We Dance #2,Multi-Medium,,1,200
,Yellow #5,Photograph,,1,150
,Ocean,Acrylic Pour,,1,250
,Sunset,Notecard,,14,2
,Sunflower,Notecard,,22,2
,Green,Notecard,,34,2
,Lily Pads,Notecard,,16,2
,W/Stone,Stained Glass,,1,200
,Oval Pink,Stained Glass,,1,200
,Green,Stained Glass,,1,200
,Blue,Stained Glass,,1,200
,Clear,Stained Glass,,1,160
,Pained Vintage Music Box,Decor,,1,45
,Dream,Acrylic Dot,,1,40
,Blue Dish,Houseware,,1,30
,Serving Dish,Houseware,,1,25
,Granite Orb with Stand,Decor,,1,150
,Spirals,Acrylic,,2,30
,Arturo,Acrylic,,58,15
,Aztec,Acrylic,,1,40
,Feathers,Acrylic,,1,50
,Blue/Pink Fusion,Acrylic,,1,20
,Martha Stewart Mandala,Acrylic,,1,15
,Mandala,Acrylic,,1,20
,Large Mandala,Acrylic,,1,25
,Martha Stewart Half Mandala,Acrylic,,1,15
,Flood Desserts,Book,,39,10
,Tree,Book,,3,8
,You Belong,Book,,4,8
,Ocean,Book,,98,8
,Sunburst,Book,,74,8
,Feathers,Book,,9,8
,Make Today Amazing,Acrylic,,1,15
,Vintage Wood Coal Shovel,,,1,35
,Metal Flower Mirrors,,,2,500
,Glen River Giclee Print,,,1,
,Glen River Giclee Print,,,1,
,Purple Flower,,,1,20
,Recycled Barrel,,,1,30
,Recycled Barrel,,,1,30
,After the Rain,,,1,30
,The Charles ,,,1,20
,Peony Farm,,,1,30
,WIng Fantasy,,,1,40
,Woman & Child,,,1,5
,Flowers,,,1,5
,Flowers,,,1,10
,Lady & Unicorn,,,1,40
,Cherry Bowl,,,1,40
,Square,,,1,5
,Small Red Square,,,1,5
,Clause,,,1,12
,Round,,,1,5
,Large Star,,,2,10
,Small Star,,,3,5
,Heart,,,1,25
,Hand Blown Ball,,,1,30
,Hand Blown Ball,,,2,25
,Hand Blown Small Witch's Ball,,,1,30
,Hand Blown Ball - Large Glows in the Dark,,,1,45
,Hand Blown Ball,,,1,40
,Hand Blown Ball,,,1,40
,Hand Blown Ball,,,1,30
,Hand Blown Ball,,,1,30
,Hand Blown Ball,,,1,30
,Hand Blown Ball - Large Witch's Ball,,,1,50
,Green Glass,,,1,30
,Cobalt Glass,,,1,40
,Flag,,,1,30
,Hourglass,,,1,30
,Rosenthal,,,1,120
,Blue Irredescent,,,1,95
,White Met Reprod.,,,1,50
,Green Metallic,,,1,60
,Hand Blown Green/Yellow,,,1,100
,Hand Blown Teardrop Abstract,,,2,100
,Bacarat Eye Rectangle,,,1,2000
,Baccarat Butterfly ,,,17,180
,Stained Glass Butterfly,,,1,100
,Crystal Goblet,,,1,30
,Sprial Bud Vase ,,,1,15
,Spiral Bowl,,,1,80
,Large Multi-color,,,1,200
,Glass Urn,,,1,20
,Small Glass Vase,,,1,10
,Med. Glass Vase,,,1,20
,Small Vase,,,1,20
,Ornate Dish/Vase,,,1,25
,Painted Vase,,,1,15
,Large Green Square,,,1,20
,Hand Blown Glass Bowl,,,2,100
,Large Red Ribbon Rectangle,,,1,150
