UID,Title,Medium,Size,Qty,Price
,Black & White,Watercolor,,1,80
,Abstract,Watercolor,,1,80
,People,Watercolor,,1,80
,Flowers,Watercolor,,1,70
,Field of Flowers,Watercolor,,1,80
,White Flowers,Watercolor,,1,70
,Gondola,Watercolor,,1,80
,Abstract,Watercolor,,1,80
,Bees,Watercolor,,1,70
,Untitled,"Pattern Hand Dyed, Hand Printed on Linen",,1,1000
,Eternity,Acrylic - Abstract w/ Gold Leaf,,1,600
,Dance Party,Acrylic,,1,900
,Candy Man,Watercolor,,1,100
,Merde de Trottoir-Deux,"Ink, Watercolor",,1,250
,Hello Little ONe,"Ink, Watercolor",,1,275
,Quiet Time,"Ink, Watercolor",,1,200
,Untitled Abstract,"Acrylic in Blue, Textured Shapes",,1,350
,Spiral Stair #1,Watercolor,,1,400
,The Old Lorry,"Ink, Watercolor",,1,475
,The Great Egrit,Watercolor,,1,500
,Sunflowers,"Ink, Watercolor",,1,600
,Cat on Wall,Watercolor Print,,7,5
,Crane,Watercolor Print,,7,5
,Green Landscape,Watercolor Print,,7,5
,Cat/TP,Watercolor Print,,7,5
,Train to Nowhere,Watercolor Print,,1,5
